Outer_Fold,FS_method,Classifier,Best_k,Selected_Features
1,LASSO,LightGBM,30,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage"
1,LASSO,Soft Voting Ensemble,30,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage"
1,LASSO,Random Forest,50,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,wavelet-LLH_gldm_DependenceEntropy,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH_gldm_LargeDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength,wavelet-LHL_firstorder_InterquartileRange,wavelet-LHL_firstorder_Uniformity,wavelet-LHL_glcm_Contrast,wavelet-LHL_glcm_DifferenceAverage,wavelet-LHL_glcm_Idmn,wavelet-LHL_glcm_Imc1,wavelet-LHL_glcm_Imc2,wavelet-LHL_glcm_InverseVariance,wavelet-LHL_glcm_JointEnergy,wavelet-LHL_glcm_JointEntropy,wavelet-LHL_glcm_MCC"
1,LASSO,SVM (RBF),50,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,wavelet-LLH_gldm_DependenceEntropy,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH_gldm_LargeDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength,wavelet-LHL_firstorder_InterquartileRange,wavelet-LHL_firstorder_Uniformity,wavelet-LHL_glcm_Contrast,wavelet-LHL_glcm_DifferenceAverage,wavelet-LHL_glcm_Idmn,wavelet-LHL_glcm_Imc1,wavelet-LHL_glcm_Imc2,wavelet-LHL_glcm_InverseVariance,wavelet-LHL_glcm_JointEnergy,wavelet-LHL_glcm_JointEntropy,wavelet-LHL_glcm_MCC"
1,LASSO,Logistic Regression,50,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,wavelet-LLH_gldm_DependenceEntropy,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH_gldm_LargeDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength,wavelet-LHL_firstorder_InterquartileRange,wavelet-LHL_firstorder_Uniformity,wavelet-LHL_glcm_Contrast,wavelet-LHL_glcm_DifferenceAverage,wavelet-LHL_glcm_Idmn,wavelet-LHL_glcm_Imc1,wavelet-LHL_glcm_Imc2,wavelet-LHL_glcm_InverseVariance,wavelet-LHL_glcm_JointEnergy,wavelet-LHL_glcm_JointEntropy,wavelet-LHL_glcm_MCC"
1,LASSO,XGBoost,50,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,wavelet-LLH_gldm_DependenceEntropy,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH_gldm_LargeDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength,wavelet-LHL_firstorder_InterquartileRange,wavelet-LHL_firstorder_Uniformity,wavelet-LHL_glcm_Contrast,wavelet-LHL_glcm_DifferenceAverage,wavelet-LHL_glcm_Idmn,wavelet-LHL_glcm_Imc1,wavelet-LHL_glcm_Imc2,wavelet-LHL_glcm_InverseVariance,wavelet-LHL_glcm_JointEnergy,wavelet-LHL_glcm_JointEntropy,wavelet-LHL_glcm_MCC"
1,LASSO,LightGBM,50,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,wavelet-LLH_gldm_DependenceEntropy,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH_gldm_LargeDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength,wavelet-LHL_firstorder_InterquartileRange,wavelet-LHL_firstorder_Uniformity,wavelet-LHL_glcm_Contrast,wavelet-LHL_glcm_DifferenceAverage,wavelet-LHL_glcm_Idmn,wavelet-LHL_glcm_Imc1,wavelet-LHL_glcm_Imc2,wavelet-LHL_glcm_InverseVariance,wavelet-LHL_glcm_JointEnergy,wavelet-LHL_glcm_JointEntropy,wavelet-LHL_glcm_MCC"
1,LASSO,Stacking Ensemble,50,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,wavelet-LLH_gldm_DependenceEntropy,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH_gldm_LargeDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength,wavelet-LHL_firstorder_InterquartileRange,wavelet-LHL_firstorder_Uniformity,wavelet-LHL_glcm_Contrast,wavelet-LHL_glcm_DifferenceAverage,wavelet-LHL_glcm_Idmn,wavelet-LHL_glcm_Imc1,wavelet-LHL_glcm_Imc2,wavelet-LHL_glcm_InverseVariance,wavelet-LHL_glcm_JointEnergy,wavelet-LHL_glcm_JointEntropy,wavelet-LHL_glcm_MCC"
1,LASSO,Soft Voting Ensemble,50,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,wavelet-LLH_gldm_DependenceEntropy,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH_gldm_LargeDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength,wavelet-LHL_firstorder_InterquartileRange,wavelet-LHL_firstorder_Uniformity,wavelet-LHL_glcm_Contrast,wavelet-LHL_glcm_DifferenceAverage,wavelet-LHL_glcm_Idmn,wavelet-LHL_glcm_Imc1,wavelet-LHL_glcm_Imc2,wavelet-LHL_glcm_InverseVariance,wavelet-LHL_glcm_JointEnergy,wavelet-LHL_glcm_JointEntropy,wavelet-LHL_glcm_MCC"
1,LASSO,Random Forest,70,"original_shape_Elongation,original_shape_Maximum2DDiameterRow,original_shape_Maximum3DDiameter,original_shape_Sphericity,original_firstorder_Median,original_firstorder_Minimum,original_glcm_DifferenceAverage,original_glcm_Idmn,original_glcm_Idn,original_glrlm_RunPercentage,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_SmallDependenceEmphasis,original_ngtdm_Coarseness,original_ngtdm_Contrast,original_ngtdm_Strength,wavelet-LLH_firstorder_Entropy,wavelet-LLH_firstorder_Uniformity,wavelet-LLH_firstorder_Variance,wavelet-LLH_glcm_Idm,wavelet-LLH_glcm_Idmn,wavelet-LLH_glcm_SumAverage,wavelet-LLH_glrlm_LongRunEmphasis,wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,wavelet-LLH_gldm_DependenceEntropy,wavelet-LLH_gldm_DependenceNonUniformityNormalized,wavelet-LLH_gldm_LargeDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceEmphasis,wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,wavelet-LLH_ngtdm_Strength,wavelet-LHL_firstorder_InterquartileRange,wavelet-LHL_firstorder_Uniformity,wavelet-LHL_glcm_Contrast,wavelet-LHL_glcm_DifferenceAverage,wavelet-LHL_glcm_Idmn,wavelet-LHL_glcm_Imc1,wavelet-LHL_glcm_Imc2,wavelet-LHL_glcm_InverseVariance,wavelet-LHL_glcm_JointEnergy,wavelet-LHL_glcm_JointEntropy,wavelet-LHL_glcm_MCC,wavelet-LHL_glrlm_GrayLevelNonUniformity,wavelet-LHL_glrlm_GrayLevelVariance,wavelet-LHL_glrlm_ShortRunEmphasis,wavelet-LHL_glszm_ZoneEntropy,wavelet-LHL_glszm_ZonePercentage,wavelet-LHL_gldm_DependenceEntropy,wavelet-LHL_gldm_DependenceNonUniformityNormalized,wavelet-LHL_gldm_DependenceVariance,wavelet-LHL_gldm_GrayLevelVariance,wavelet-LHL_gldm_HighGrayLevelEmphasis,wavelet-LHL_gldm_LargeDependenceEmphasis,wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,wavelet-LHL_ngtdm_Coarseness,wavelet-LHL_ngtdm_Contrast,wavelet-LHL_ngtdm_Strength,wavelet-LHH_firstorder_Median,wavelet-LHH_firstorder_Range,wavelet-LHH_firstorder_Uniformity,wavelet-LHH_glcm_DifferenceVariance,wavelet-LHH_glcm_Idmn"
