FS_method,Classifier,Accuracy,Precision,Recall,F1_score,AUC,Best_params,Outer_Fold,Top_k
LASSO,LightGBM,0.8015503875968992,0.8085699133718859,0.8015503875968992,0.8001313235538173,1.0,"{'num_leaves': 127, 'n_estimators': 800, 'max_depth': -1, 'learning_rate': 0.1}",1,90
LASSO,Soft Voting Ensemble,0.813953488372093,0.8180780958449004,0.813953488372093,0.8131505250507922,1.0,"{'weights': (1, 1)}",1,90
RF_importance,Random Forest,0.7827426810477658,0.7840525576118796,0.7827426810477658,0.7824098835790495,1.0,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10}",1,10
RF_importance,SVM (RBF),0.6964560862865947,0.697131049804585,0.6964560862865947,0.6960619718418233,0.9389233954451345,"{'pca__n_components': 0.95, 'clf__gamma': 'scale', 'clf__C': 50}",1,10
RF_importance,Logistic Regression,0.5130970724191063,0.5129286210434642,0.5130970724191063,0.512617891936406,0.5644481167018063,{'clf__C': 1},1,10
RF_importance,XGBoost,0.7704160246533128,0.7704240435706998,0.7704160246533128,0.7704182050156272,1.0,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",1,10
RF_importance,LightGBM,0.7812018489984591,0.7812238069311005,0.7812018489984591,0.7811831447492282,1.0,"{'num_leaves': 63, 'n_estimators': 800, 'max_depth': -1, 'learning_rate': 0.05}",1,10
RF_importance,Stacking Ensemble,0.736517719568567,0.7365262213769647,0.736517719568567,0.7365202218635721,0.984908921685946,"{'final_estimator__n_estimators': 300, 'final_estimator__max_depth': 3, 'final_estimator__learning_rate': 0.03}",1,10
RF_importance,Soft Voting Ensemble,0.765793528505393,0.7662114961434012,0.765793528505393,0.7656454938095049,1.0,"{'weights': (2, 1)}",1,10
RF_importance,Random Forest,0.8290229885057471,0.8364595156585192,0.8290229885057471,0.8289400398182175,1.0,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",1,30
RF_importance,SVM (RBF),0.5704022988505747,0.5864555702917772,0.5704022988505747,0.5638651546359457,0.7274806693021059,"{'pca__n_components': 0.95, 'clf__gamma': 0.001, 'clf__C': 50}",1,30
RF_importance,Logistic Regression,0.5229885057471264,0.5243608404999757,0.5229885057471264,0.5233987194602971,0.6076510612200924,{'clf__C': 1},1,30
RF_importance,XGBoost,0.8146551724137931,0.817773976115049,0.8146551724137931,0.8147994686097427,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",1,30
RF_importance,LightGBM,0.8247126436781609,0.8273160071324193,0.8247126436781609,0.8248632540966794,1.0,"{'num_leaves': 127, 'n_estimators': 800, 'max_depth': -1, 'learning_rate': 0.1}",1,30
RF_importance,Stacking Ensemble,0.8146551724137931,0.820359351574213,0.8146551724137931,0.8146708596611553,0.994919735130073,"{'final_estimator__n_estimators': 300, 'final_estimator__max_depth': 4, 'final_estimator__learning_rate': 0.1}",1,30
RF_importance,Soft Voting Ensemble,0.8204022988505747,0.8208974753694581,0.8204022988505747,0.8205126599875305,1.0,"{'weights': (2, 1)}",1,30
RF_importance,Random Forest,0.8176100628930818,0.8300937438141787,0.8176100628930818,0.8152037034963995,1.0,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",1,50
RF_importance,SVM (RBF),0.5251572327044025,0.5246114861854982,0.5251572327044025,0.5246299853123941,0.34427916827489286,"{'pca__n_components': 0.9, 'clf__gamma': 0.0001, 'clf__C': 50}",1,50
RF_importance,Logistic Regression,0.5031446540880503,0.5031446540880503,0.5031446540880503,0.5031446540880503,0.6449927258691842,{'clf__C': 100},1,50
RF_importance,XGBoost,0.8018867924528302,0.8044216664177963,0.8018867924528302,0.8010982743280841,1.0,"{'subsample': 0.7, 'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",1,50
RF_importance,LightGBM,0.800314465408805,0.8037953479650206,0.800314465408805,0.7993022875357007,1.0,"{'num_leaves': 127, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.05}",1,50
RF_importance,Stacking Ensemble,0.7924528301886793,0.7984211667751031,0.7924528301886793,0.7908096317232365,0.9978721930267311,"{'final_estimator__n_estimators': 300, 'final_estimator__max_depth': 2, 'final_estimator__learning_rate': 0.03}",1,50
RF_importance,Soft Voting Ensemble,0.8050314465408805,0.810252758988964,0.8050314465408805,0.8037039248666183,1.0,"{'weights': (2, 1)}",1,50
RF_importance,Random Forest,0.8317610062893082,0.8405158034384309,0.8317610062893082,0.8301761385737123,1.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",1,70
RF_importance,SVM (RBF),0.5314465408805031,0.5316183632445461,0.5314465408805031,0.5315114406918083,0.6785972308819017,"{'pca__n_components': 0.85, 'clf__gamma': 0.0001, 'clf__C': 50}",1,70
RF_importance,Logistic Regression,0.5235849056603774,0.5238931514210652,0.5235849056603774,0.5236756233414016,0.6887958591886622,{'clf__C': 100},1,70
RF_importance,XGBoost,0.8081761006289309,0.8085362845784563,0.8081761006289309,0.8079631066493779,1.0,"{'subsample': 0.7, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",1,70
RF_importance,LightGBM,0.8207547169811321,0.8219503153256419,0.8207547169811321,0.8203632118555996,1.0,"{'num_leaves': 127, 'n_estimators': 800, 'max_depth': -1, 'learning_rate': 0.1}",1,70
RF_importance,Stacking Ensemble,0.8113207547169812,0.8226800374440416,0.8113207547169812,0.8089699422079286,0.9936264758568134,"{'final_estimator__n_estimators': 100, 'final_estimator__max_depth': 3, 'final_estimator__learning_rate': 0.03}",1,70
RF_importance,Soft Voting Ensemble,0.8238993710691824,0.827559518811663,0.8238993710691824,0.8230468893155056,1.0,"{'weights': (1, 1)}",1,70
RF_importance,Random Forest,0.8135860979462876,0.8234455194705921,0.8135860979462876,0.811420670566227,1.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",1,90
RF_importance,SVM (RBF),0.5781990521327014,0.5792013302686979,0.5781990521327014,0.5708126135849158,0.8024474825608123,"{'pca__n_components': 0.85, 'clf__gamma': 0.001, 'clf__C': 10}",1,90
RF_importance,Logistic Regression,0.5466034755134281,0.5464648360570654,0.5466034755134281,0.5465218871877225,0.7249405368671424,{'clf__C': 0.1},1,90
RF_importance,XGBoost,0.8246445497630331,0.8280414881077931,0.8246445497630331,0.8237800192917137,1.0,"{'subsample': 0.7, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",1,90
RF_importance,LightGBM,0.8183254344391785,0.820832043595156,0.8183254344391785,0.8175895790685388,1.0,"{'num_leaves': 63, 'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.1}",1,90
RF_importance,Soft Voting Ensemble,0.8262243285939969,0.834401972496626,0.8262243285939969,0.8245558430399266,1.0,"{'weights': (1, 1)}",1,90
Boruta,Random Forest,0.78125,0.782716714559387,0.78125,0.7812194818136523,1.0,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",1,10
Boruta,XGBoost,0.7708333333333334,0.7707985886256177,0.7708333333333334,0.7707886277987142,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",1,10
Boruta,LightGBM,0.7797619047619048,0.7797619047619048,0.7797619047619048,0.7797619047619048,1.0,"{'num_leaves': 63, 'n_estimators': 800, 'max_depth': -1, 'learning_rate': 0.05}",1,10
Boruta,Random Forest,0.814873417721519,0.8160864978902953,0.814873417721519,0.8143912675081107,1.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",1,30
Boruta,SVM (RBF),0.6075949367088608,0.6107743414085366,0.6075949367088608,0.6000975458325785,0.7577279791447336,"{'pca__n_components': 0.95, 'clf__gamma': 0.01, 'clf__C': 1}",1,30
Boruta,Logistic Regression,0.5031645569620253,0.5046122406871228,0.5031645569620253,0.5030351882811879,0.6256379405424375,{'clf__C': 10},1,30
Boruta,XGBoost,0.8306962025316456,0.8317760941467223,0.8306962025316456,0.8303116679680691,1.0,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",1,30
Boruta,LightGBM,0.819620253164557,0.8207445588921528,0.819620253164557,0.8191809755135672,1.0,"{'num_leaves': 127, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.05}",1,30
Boruta,Soft Voting Ensemble,0.7515822784810127,0.7515227406092106,0.7515822784810127,0.7515355598856452,0.9991778212262495,"{'weights': (1, 2)}",1,30
Boruta,Random Forest,0.8246153846153846,0.8305377830393046,0.8246153846153846,0.8237338619267053,1.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}",1,50
Boruta,SVM (RBF),0.6784615384615384,0.6789578701645176,0.6784615384615384,0.6781285480245361,1.0,"{'pca__n_components': 0.85, 'clf__gamma': 0.1, 'clf__C': 1}",1,50
Boruta,Logistic Regression,0.5230769230769231,0.5231165422377396,0.5230769230769231,0.523076923076923,0.6500790562482841,{'clf__C': 100},1,50
Boruta,XGBoost,0.8184615384615385,0.819005677483598,0.8184615384615385,0.8183531768012174,1.0,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",1,50
Boruta,LightGBM,0.82,0.8212708380908883,0.82,0.819776,1.0,"{'num_leaves': 127, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.05}",1,50
Boruta,Stacking Ensemble,0.823076923076923,0.8263351016799292,0.823076923076923,0.8225639637437867,0.9999431931150055,"{'final_estimator__n_estimators': 300, 'final_estimator__max_depth': 4, 'final_estimator__learning_rate': 0.1}",1,50
Boruta,Soft Voting Ensemble,0.8046153846153846,0.806633954684802,0.8046153846153846,0.8042274325561992,1.0,"{'weights': (2, 1)}",1,50
Boruta,Random Forest,0.8184568835098336,0.8255825143086868,0.8184568835098336,0.817636010305963,1.0,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",1,70
Boruta,SVM (RBF),0.5612708018154312,0.5635680469189933,0.5612708018154312,0.558910176921774,0.7639125418886996,"{'pca__n_components': 0.85, 'clf__gamma': 0.001, 'clf__C': 10}",1,70
Boruta,Logistic Regression,0.5431164901664145,0.543452255775389,0.5431164901664145,0.5429658830209698,0.701029134391767,{'clf__C': 0.01},1,70
Boruta,XGBoost,0.8214826021180031,0.8230378094784285,0.8214826021180031,0.8213477010854744,1.0,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",1,70
Boruta,LightGBM,0.8199697428139183,0.8222726081759552,0.8199697428139183,0.8197470356844092,1.0,"{'num_leaves': 127, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05}",1,70
Boruta,Soft Voting Ensemble,0.8229954614220878,0.8268513391749827,0.8229954614220878,0.8225977321585619,1.0,"{'weights': (2, 1)}",1,70
Boruta,Random Forest,0.8112324492979719,0.8207701423329307,0.8112324492979719,0.8093772330999206,1.0,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",1,90
