FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,Precision_mean,Recall_mean,AUC_mean
LASSO,Stacking Ensemble,10,0.7191287769898613,0.03257394723451943,0.7204003095392466,0.7324599521645241,0.7204003095392466,0.9947694149166411
ReliefF,SVM (RBF),50,0.6733578365407258,0.008599187766798088,0.6738627687018947,0.6748545544095803,0.6738627687018947,1.0
RFE_SVM,SVM (RBF),70,0.6702861020908462,0.013179454343356418,0.6702853903785488,0.6712186155961852,0.6702853903785488,1.0
RFE_SVM,SVM (RBF),50,0.6624596465376206,0.02068679803433822,0.6629690208822403,0.6646549561475575,0.6629690208822403,0.9964030381971258
ReliefF,SVM (RBF),10,0.660411047503109,0.10737850262185011,0.6614636005737196,0.6653311338940769,0.6614636005737196,0.8362132450639406
RFE_SVM,SVM (RBF),10,0.6585805609766596,0.033778833441209764,0.6600573156165538,0.6647082896659957,0.6600573156165538,0.8251656666955992
mRMR,SVM (RBF),50,0.6456141497751308,0.007989379494603894,0.6551468811984956,0.6764449351419701,0.6551468811984956,1.0
RF_importance,SVM (RBF),30,0.6405503164376061,0.0700236112621313,0.6432799667836001,0.6484179315650416,0.6432799667836001,0.9074537837596552
mRMR,SVM (RBF),30,0.6339536661573552,0.037440370521242786,0.6355559745984203,0.6357647364253526,0.6355559745984203,0.9943653978303745
RF_importance,SVM (RBF),90,0.6306215057307288,0.05791772228189112,0.6335252126929786,0.6338179981271107,0.6335252126929786,0.9258364575867724
Boruta,SVM (RBF),90,0.6287914256702688,0.020536468056143085,0.6305343601586442,0.631482929164899,0.6305343601586442,0.9432952557373676
RF_importance,SVM (RBF),10,0.6210224295600287,0.06815894772435056,0.6230537015488159,0.623849980996768,0.6230537015488159,0.8217759157501555
RFE_SVM,SVM (RBF),90,0.6193284402852521,0.071083864939359,0.619788661671825,0.619860508406585,0.619788661671825,0.9112817930523813
RFE_SVM,SVM (RBF),30,0.6173547775983113,0.016574274894455808,0.6191834514511411,0.6180985503907122,0.6191834514511411,0.8818033527522253
Boruta,SVM (RBF),50,0.6164410329067728,0.06128687956707676,0.6171057518509308,0.6176767235311673,0.6171057518509308,0.8858109124118801
mRMR,SVM (RBF),10,0.6102130343652522,0.056743931564569826,0.6108957392009554,0.6112698411885963,0.6108957392009554,0.7967850415632732
Boruta,SVM (RBF),30,0.6075881273763519,0.020934316202481158,0.6113839102234624,0.6113650696493023,0.6113839102234624,0.8992162829239853
RFE_SVM,Logistic Regression,30,0.607151231834918,0.024156289925821084,0.6069289595504429,0.6082399457543953,0.6069289595504429,0.7009109811951696
RFE_SVM,Logistic Regression,90,0.6035610638947709,0.02104741439587275,0.603648413203503,0.6041934448057181,0.603648413203503,0.813251404532536
mRMR,SVM (RBF),70,0.5993725505231013,0.0702692557531401,0.6014649309986473,0.6008231618906719,0.6014649309986473,0.9449135680380879
