Outer_Fold,FS_method,Top_k,Classifier,Inner_F1,Test_F1,Test_Accuracy,Test_AUC
1,LASSO,10,LightGBM,0.7784306551335325,0.6002624755273742,0.6174496644295302,0.67575393878443
1,LASSO,30,XGBoost,0.8324273608728723,0.679837171545923,0.7046979865771812,0.7600916948606756
1,LASSO,50,XGBoost,0.8543176896990516,0.6751924357198122,0.7046979865771812,0.7579045050798475
1,LASSO,70,Soft Voting Ensemble,0.8615729841090797,0.6586965104104087,0.697986577181208,0.752254898309075
1,LASSO,90,Soft Voting Ensemble,0.8628568237473705,0.6867079110716819,0.7281879194630873,0.7542466587774298
1,RF_importance,10,Soft Voting Ensemble,0.8628568237473705,0.6701707594359818,0.7080536912751678,0.7440528085959617
1,RF_importance,30,Soft Voting Ensemble,0.8628568237473705,0.6944346177553482,0.7281879194630873,0.7631989974722078
1,RF_importance,50,Soft Voting Ensemble,0.8628568237473705,0.7043769536189392,0.738255033557047,0.7641791680064325
1,RF_importance,70,Soft Voting Ensemble,0.8678465528969045,0.7215908552950215,0.7550335570469798,0.7712056305065866
1,RF_importance,90,Soft Voting Ensemble,0.8678465528969045,0.7108356858776321,0.7449664429530202,0.7741993909892694
1,Boruta,10,Soft Voting Ensemble,0.8678465528969045,0.6204906914277908,0.6644295302013423,0.7343888073477473
1,Boruta,30,Soft Voting Ensemble,0.8678465528969045,0.6634319879889055,0.7013422818791947,0.7423067756507167
1,Boruta,50,Soft Voting Ensemble,0.8678465528969045,0.6569714110420267,0.6946308724832215,0.7607602091278854
1,Boruta,70,Soft Voting Ensemble,0.8678465528969045,0.6899268919244418,0.7281879194630873,0.7649529001722676
1,Boruta,90,Soft Voting Ensemble,0.8678465528969045,0.6944246217162707,0.7348993288590604,0.7744449704413592
1,RFE_SVM,10,Soft Voting Ensemble,0.8678465528969045,0.6981419364024181,0.7315436241610739,0.758481423982288
1,RFE_SVM,30,Soft Voting Ensemble,0.8678465528969045,0.7082635831317553,0.7348993288590604,0.7843769211054246
1,RFE_SVM,50,LightGBM,0.8698100461238107,0.6923777016825782,0.714765100671141,0.7835991226063916
1,RFE_SVM,70,LightGBM,0.8818109464518664,0.6780738013257842,0.7013422818791947,0.7736265477050083
1,RFE_SVM,90,LightGBM,0.8818109464518664,0.6750575810029434,0.7046979865771812,0.774492221712026
1,mRMR,10,LightGBM,0.8818109464518664,0.6621011711539798,0.6812080536912751,0.7632830514772957
1,mRMR,30,LightGBM,0.8818109464518664,0.6727370089112951,0.6912751677852349,0.7709432535456632
1,mRMR,50,LightGBM,0.8818109464518664,0.6960733396049295,0.714765100671141,0.7818567342607127
1,mRMR,70,LightGBM,0.8818109464518664,0.675773992886337,0.7013422818791947,0.7556689034056696
1,mRMR,90,LightGBM,0.8818109464518664,0.7238079620908616,0.7550335570469798,0.7647945731570384
1,ReliefF,10,LightGBM,0.8818109464518664,0.6259745834868774,0.6409395973154363,0.7119743025529975
1,ReliefF,30,LightGBM,0.8818109464518664,0.6749218016503041,0.6912751677852349,0.756026305798988
1,ReliefF,50,LightGBM,0.8818109464518664,0.6702250892320611,0.6879194630872483,0.7549798380536988
1,ReliefF,70,LightGBM,0.8818109464518664,0.6831683290691781,0.7013422818791947,0.7536168912265497
1,ReliefF,90,LightGBM,0.8818109464518664,0.6754298144783515,0.697986577181208,0.7535969915565408
2,LASSO,10,LightGBM,0.8818109464518664,0.6368533011611389,0.6543624161073825,0.7414438974004858
2,LASSO,30,LightGBM,0.8818109464518664,0.6697664692065567,0.6946308724832215,0.7835672506858108
2,LASSO,50,LightGBM,0.8818109464518664,0.6953626003227132,0.714765100671141,0.7796026999435972
2,LASSO,70,LightGBM,0.8818109464518664,0.7021744808969257,0.7248322147651006,0.7940855596576821
2,LASSO,90,LightGBM,0.8818109464518664,0.6974946133792992,0.7214765100671141,0.7932374787358043
2,RF_importance,10,LightGBM,0.8818109464518664,0.6627756662808304,0.6812080536912751,0.7865942303887532
2,RF_importance,30,LightGBM,0.8818109464518664,0.7010404883059987,0.7281879194630873,0.8072454976562898
2,RF_importance,50,LightGBM,0.8818109464518664,0.7126053578615905,0.7315436241610739,0.7900704971502585
2,RF_importance,70,LightGBM,0.8818109464518664,0.7115386082455548,0.738255033557047,0.8088197799465257
2,RF_importance,90,LightGBM,0.8818109464518664,0.7174087499551377,0.7483221476510067,0.8154501861868464
2,Boruta,10,LightGBM,0.8818109464518664,0.6327223188217387,0.6476510067114094,0.7448728288378075
2,Boruta,30,LightGBM,0.8818109464518664,0.6818686732350641,0.6946308724832215,0.789303777100161
2,Boruta,50,LightGBM,0.8818109464518664,0.6970442178070596,0.7181208053691275,0.7944518218780494
2,Boruta,70,LightGBM,0.8818109464518664,0.7177539423858166,0.7416107382550335,0.8176220166536013
2,Boruta,90,LightGBM,0.8818109464518664,0.7140456124089554,0.7416107382550335,0.8153208698518576
2,RFE_SVM,10,LightGBM,0.8818109464518664,0.6615390052189879,0.674496644295302,0.7676696134233154
2,RFE_SVM,30,LightGBM,0.8818109464518664,0.7286016589335271,0.7449664429530202,0.8420803711513984
2,RFE_SVM,50,LightGBM,0.8818109464518664,0.7459733327624531,0.7651006711409396,0.8448278328402699
2,RFE_SVM,70,LightGBM,0.8818109464518664,0.7016234066630131,0.7315436241610739,0.8404241684470781
2,RFE_SVM,90,LightGBM,0.8818109464518664,0.7163866623373023,0.7416107382550335,0.8476039836558132
2,mRMR,10,LightGBM,0.8818109464518664,0.6925341938376134,0.7013422818791947,0.7919185588473379
